MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
0,1.9,6.2,0.4,1.0282,3.62,0.0,15.4,18.9,8.5,25.9,True
1,2.0,7.1,0.43,1.0219,3.62,0.0,15.4,22.6,12.3,29.7,True
0,2.0,7.2,0.41,1.0162,3.61,0.0,15.4,24.7,14.4,31.9,True
2,2.4,10.7,0.41,1.0141,3.56,0.0,15.0,26.1,17.8,32.1,True
5,3.3,9.9,0.55,1.0154,3.16,2.61,11.9,23.0,19.8,30.0,False
7,2.3,8.6,0.81,1.0193,1.32,0.35,1.3,16.4,14.1,20.3,False
7,3.2,12.9,0.8,1.0167,1.37,0.31,1.5,13.1,10.6,18.7,False
6,3.6,11.7,0.77,1.0184,1.61,0.0,2.5,12.6,10.2,15.5,False
6,3.2,11.5,0.59,1.0207,2.26,0.0,5.9,13.6,11.0,17.6,False
1,2.1,8.6,0.5,1.0204,3.24,0.0,12.5,14.2,9.3,19.8,True
5,2.1,9.1,0.52,1.0152,2.99,0.0,10.7,17.2,8.1,21.5,True
6,2.9,11.5,0.43,1.0164,2.61,0.0,8.1,17.1,11.7,21.0,True
3,2.6,10.6,0.51,1.0149,3.2,0.0,12.3,18.7,11.8,23.9,True
3,2.6,12.2,0.52,1.0118,3.24,0.48,12.6,21.6,12.3,28.0,False
4,2.9,15.2,0.59,1.0119,3.13,1.51,11.8,23.2,16.2,29.1,False
7,3.2,11.8,0.78,1011,2.06,0.77,4.8,20.0,17.6,26.6,False
6,2.7,11.7,0.77,1.0086,1.73,0.05,3.1,19.0,16.5,22.1,False
4,4.3,15.4,0.53,1.0155,3.36,0.0,13.6,19.9,15.7,23.3,True
2,2.3,9.1,0.52,1.0187,2.99,0.17,10.9,20.6,14.5,25.4,False
7,2.3,14.9,0.9,1011,1.46,0.6,1.9,17.3,14.6,22.8,False
7,4.6,16.5,0.81,1.0127,1.52,0.02,2.2,13.0,10.9,17.4,False
7,3.7,14.3,0.79,1.0111,1.27,0.49,1.2,13.4,11.1,18.2,False
8,3.1,13.8,0.84,1.0014,0.91,0.89,0.2,14.8,12.4,18.6,False
7,3.6,10.7,0.79,1.0028,1.58,0.42,2.5,13.3,11.3,18.7,False
7,4.0,11.9,0.78,1.0134,1.51,0.45,2.2,12.4,10.5,16.3,False
6,3.8,11.4,0.73,1.0169,1.79,0.62,3.5,12.9,8.5,16.4,False
7,4.7,14.5,0.91,1009,0.91,1.05,0.2,12.0,11.3,13.7,False
6,3.5,11.0,0.9,1.0098,1.68,0.45,3.0,10.3,9.2,13.9,False
6,3.1,11.3,0.91,1.0147,1.83,0.39,3.8,10.6,9.2,15.0,False
4,2.2,6.5,0.66,1.0183,2.73,0.06,9.4,14.7,9.3,19.8,False
4,2.0,8.0,0.69,1.0181,2.68,0.0,9.1,15.8,11.7,21.0,True
4,3.2,13.8,0.71,1.0184,2.41,0.09,7.3,15.0,12.5,19.2,False
6,2.4,7.9,0.65,1021,1.55,0.0,2.5,16.0,11.9,18.9,True
5,3.0,8.7,0.59,1.02,2.47,0.0,7.8,17.6,12.9,22.4,True
2,1.8,6.5,0.56,1.0171,3.33,0.0,14.2,19.0,10.1,24.1,True
7,1.6,8.1,0.82,1.0139,1.94,0.18,4.6,18.0,12.6,24.3,False
7,2.3,11.4,0.81,1.0079,1.64,0.97,3.0,18.5,15.7,25.6,False
4,3.5,10.9,0.61,1.0082,2.73,0.25,9.8,20.8,14.9,25.0,False
6,3.7,18.7,0.77,1.0107,2.06,0.69,5.4,17.7,15.6,24.8,False
5,1.9,12.9,0.62,1016,2.81,0.05,10.5,20.9,13.5,26.2,False
6,3.1,14.0,0.91,1.0152,1.45,1.19,2.2,15.2,12.7,21.0,False
6,4.6,12.1,0.77,1.0176,1.82,0.29,4.1,15.8,13.3,20.0,False
7,3.4,10.6,0.88,1.0228,1.62,2.07,3.1,15.2,13.1,19.5,False
1,1.7,5.8,0.71,1.0241,2.93,0.0,11.7,18.1,12.0,24.2,True
0,1.6,5.0,0.54,1021,3.26,0.0,14.4,21.6,12.0,28.0,True
5,2.9,12.7,0.61,1018,2.44,0.02,8.2,21.2,17.3,29.0,False
8,1.7,6.1,0.92,1.0202,1.17,1.08,1.2,16.1,14.9,21.2,False
7,1.8,4.8,0.83,1.0208,0.96,0.08,0.5,15.8,14.4,18.2,False
8,2.1,7.9,0.95,1.0194,0.69,2.97,0.0,15.9,13.8,17.6,False
8,3.0,8.3,0.99,1.0181,0.69,5.86,0.0,14.5,13.9,16.2,False
6,3.0,9.5,0.92,1.0219,1.3,0.18,1.8,15.9,13.6,19.1,False
7,2.1,8.1,0.8,1021,2.06,0.08,6.0,17.7,13.7,23.3,False
4,1.6,5.5,0.8,1.0211,2.43,0.0,8.6,18.5,14.3,23.6,True
5,1.9,7.7,0.61,1.0172,2.5,0.0,9.2,22.0,14.6,27.2,True
1,2.7,9.5,0.56,1014,2.97,0.0,13.0,22.0,17.9,28.8,True
2,1.6,7.3,0.59,1.0131,2.93,0.0,12.8,22.6,14.3,29.3,True
1,1.7,6.7,0.56,1.0164,2.92,0.0,12.8,22.4,15.6,29.3,True
1,1.3,6.1,0.53,1019,2.82,0.0,12.1,23.2,15.8,29.6,True
2,2.2,8.0,0.56,1019,2.65,0.36,10.8,23.3,17.6,30.2,False
3,1.5,9.1,0.75,1.0168,2.61,0.0,10.6,22.3,18.0,28.1,True
4,2.8,17.3,0.57,1.0138,2.5,0.29,9.8,23.4,17.4,31.1,False
6,2.2,10.2,0.76,1.0158,1.39,0.27,2.6,21.0,17.5,24.5,False
1,1.8,7.0,0.61,1.0138,2.84,0.0,12.9,23.8,16.1,30.7,True
3,2.5,8.8,0.5,1.0112,2.74,0.0,12.1,26.8,18.2,33.5,True
6,3.3,17.3,0.71,1.0132,2.22,1.77,8.1,20.5,17.7,28.3,False
6,2.1,8.4,0.72,1.0192,1.4,0.0,2.8,18.1,15.0,21.2,True
1,2.0,6.5,0.68,1.02,2.75,0.0,12.6,19.4,12.7,25.0,True
1,2.0,9.4,0.59,1.0208,2.73,0.0,12.6,21.5,13.4,28.0,True
1,2.7,9.3,0.59,1.0202,2.59,0.0,11.5,19.4,14.8,25.7,True
1,3.6,10.2,0.5,1.0151,2.72,0.0,12.8,18.4,12.9,25.0,True
5,3.2,12.1,0.7,1.0154,2.05,0.2,7.4,17.0,10.9,23.7,False
4,2.4,7.0,0.83,1.0201,0.94,0.01,0.9,16.3,14.4,19.8,False
2,1.3,5.5,0.73,1.0198,2.39,0.0,10.3,16.4,11.0,22.8,True
6,1.9,7.4,0.75,1.0146,2.09,0.05,8.0,18.0,11.3,24.7,False
7,2.0,6.9,0.84,1009,1.45,4.07,3.6,16.6,13.7,21.6,False
6,2.4,6.2,0.79,1.0081,1.71,0.03,5.2,18.0,14.2,22.2,False
6,4.7,18.2,0.71,1.0091,1.49,0.06,3.7,14.6,12.5,19.4,False
7,4.1,11.6,0.94,1.0127,0.98,0.84,1.0,12.5,11.4,15.6,False
6,3.1,10.5,0.84,1.0189,1.2,0.5,2.1,11.6,10.2,13.9,False
7,2.5,8.6,0.78,1.0228,1.15,0.0,1.9,12.8,9.9,16.2,False
7,2.0,11.7,0.82,1.0176,1.4,0.93,3.4,12.9,10.1,17.2,False
7,4.1,14.4,0.96,1015,1.12,0.74,1.8,11.8,11.2,14.6,False
3,1.6,5.7,0.79,1023,2.27,0.0,10.9,14.1,10.8,19.8,True
1,1.6,5.5,0.8,1.0241,2.34,0.0,11.8,15.6,8.4,23.3,True
2,1.4,6.6,0.82,1.0216,2.36,0.0,12.2,17.0,9.5,24.8,True
1,1.6,6.9,0.77,1017,2.32,0.0,12.0,17.5,11.4,24.8,True
3,1.8,7.5,0.74,1.0138,2.23,0.0,11.2,18.1,10.6,26.0,True
6,2.6,10.1,0.87,1.0138,0.98,0.75,1.4,17.0,15.3,18.6,False
7,1.7,6.4,0.89,1.0162,1.3,0.0,3.4,17.3,13.7,21.3,True
7,1.5,4.6,0.79,1.0142,1.76,0.0,7.2,19.6,14.8,25.1,True
7,3.0,11.3,0.82,1.0112,0.83,1.21,0.8,14.1,12.3,19.7,False
8,4.5,13.4,0.96,1.0119,0.53,0.14,0.0,12.2,10.9,13.2,False
5,1.8,6.1,0.87,1.0101,1.01,0.0,1.8,13.4,11.6,18.0,True
5,2.8,6.8,0.94,1.0075,1.11,0.0,2.5,12.3,9.0,17.6,False
7,2.5,9.0,0.93,1.0059,1.2,3.34,3.2,13.8,8.8,19.6,False
8,4.3,14.3,1.0,1.0125,0.51,6.49,0.0,11.0,10.3,13.6,False
8,2.2,8.5,0.94,1.0243,0.5,0.05,0.0,12.3,10.1,14.1,False
4,3.0,9.8,0.85,1.0238,1.26,0.0,3.9,11.5,9.9,16.4,False
3,1.6,4.5,0.92,1.0214,1.37,0.0,4.9,10.3,6.6,15.3,False
5,1.3,5.2,0.9,1.0223,1.75,0.0,8.7,14.8,8.0,20.9,True
4,1.5,4.4,0.89,1.0219,1.72,0.0,8.6,15.8,12.4,22.0,True
2,1.2,4.5,0.84,1.0186,1.9,0.0,10.8,16.6,10.5,23.1,True
2,2.3,7.7,0.82,1.0119,1.84,0.0,10.3,17.5,13.7,24.1,True
1,2.4,7.2,0.81,1.0041,1.86,0.0,10.8,17.2,10.6,24.4,True
6,2.1,7.5,0.79,1.0032,1.66,0.02,8.7,17.0,10.1,24.1,False
7,2.4,7.5,0.88,1.0064,0.79,1.28,1.3,13.7,12.7,16.7,False
8,2.2,9.7,0.99,1.0104,0.44,2.75,0.0,11.5,10.2,14.4,False
8,1.9,6.1,0.99,1.0218,0.44,0.33,0.0,10.7,9.7,11.5,False
8,1.4,4.4,0.92,1.0217,0.43,0.0,0.0,11.0,9.3,11.7,False
8,2.3,6.3,0.97,1.0183,0.42,0.73,0.0,11.3,10.6,12.2,False
8,2.9,13.7,0.99,1.0216,0.42,1.59,0.0,8.1,6.7,11.4,False
8,1.9,5.3,0.99,1.0251,0.41,1.0,0.0,5.4,5.1,6.8,False
7,1.7,6.1,0.89,1.0216,0.6,0.32,0.6,8.0,5.0,11.3,False
5,2.6,10.6,0.91,1.0127,0.78,0.0,1.7,8.4,6.5,12.5,False
7,3.0,12.8,0.78,1.0012,0.49,0.0,0.2,8.0,4.5,13.3,False
7,2.3,8.2,0.82,0.9942,0.48,0.34,0.2,9.6,5.4,14.1,False
7,2.5,8.9,0.89,1.0023,0.89,0.01,2.8,11.2,8.5,15.1,False
7,2.4,8.1,0.9,1.0103,1.19,0.0,5.9,13.3,8.8,16.9,False
8,1.3,6.0,0.95,1.0142,0.88,0.0,2.9,11.6,9.2,16.1,False
5,2.7,9.2,0.68,1007,1.19,0.0,6.2,16.9,9.2,25.6,True
3,2.4,11.4,0.77,1.0116,1.35,0.0,8.3,14.0,10.6,19.7,True
8,2.3,7.5,0.87,1024,0.47,0.02,0.3,11.7,11.1,14.4,False
7,1.3,5.6,0.93,1.0256,0.35,0.14,0.0,10.6,9.5,12.8,False
8,1.4,4.3,0.96,1.0227,0.35,0.41,0.0,10.8,9.1,11.8,False
5,1.7,5.8,0.93,1.0226,0.7,0.0,1.9,10.6,8.6,14.9,False
7,1.2,4.0,0.94,1.0256,0.81,0.0,3.0,9.4,7.8,13.5,False
8,1.3,3.7,0.99,1.0304,0.33,0.0,0.0,8.8,6.5,9.9,False
3,1.4,5.1,0.89,1027,1.0,0.0,5.2,9.6,7.5,16.2,False
5,2.7,9.4,0.87,1.0228,0.6,0.03,1.4,12.6,6.7,16.4,False
6,3.2,12.7,0.72,1.0167,1.04,0.0,6.1,14.7,10.8,18.8,True
7,3.8,11.8,0.79,1.0155,0.31,0.34,0.0,11.4,8.4,14.9,False
7,2.8,8.4,0.81,1021,0.45,0.0,0.5,9.8,7.7,11.6,False
5,1.5,5.4,0.71,1019,0.94,0.0,5.3,12.0,8.5,17.0,False
6,2.9,12.1,0.72,1.0179,0.6,0.0,1.7,10.8,7.0,14.7,False
6,2.3,6.6,0.74,1.0078,1.06,0.0,7.2,10.9,6.3,15.0,False
