,MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
87,8,2.7,8.1,0.82,1.0114,0.66,0.0,0.1,4.9,3.2,7.0,0
90,5,4.6,15.0,0.67,1.0096,1.67,0.0,5.4,6.2,3.0,11.3,0
91,7,2.0,9.0,0.82,1.0077,1.19,0.02,2.2,5.3,0.6,9.0,0
96,7,3.1,10.8,0.6,1.0242,1.39,0.0,3.0,2.2,0.1,7.5,0
97,4,1.7,7.0,0.59,1.0304,2.62,0.0,12.3,5.8,-1.2,9.7,0
98,4,2.1,6.6,0.56,1.0243,2.14,0.0,8.1,7.2,1.4,11.8,0
99,5,3.2,8.4,0.58,1.0122,2.6,0.0,11.8,8.6,2.2,13.8,0
100,6,2.2,6.4,0.58,1.0068,2.24,0.0,8.6,9.6,3.4,14.2,0
101,7,2.0,9.8,0.8,0.9991,1.35,0.01,2.5,9.0,5.9,12.5,0
105,6,3.5,15.8,0.68,1.0017,2.0,0.0,6.3,8.9,6.4,20.2,1
106,5,3.2,11.0,0.45,1.0038,2.4,0.0,9.2,12.4,4.8,18.3,1
107,7,3.8,10.1,0.71,1.0051,1.39,0.66,2.4,9.8,6.9,16.0,0
108,8,2.3,6.5,0.81,1.0122,0.73,0.11,0.0,8.2,5.3,10.4,0
109,6,2.2,6.5,0.74,1.0122,1.05,0.0,0.8,10.5,6.9,13.7,0
110,0,1.9,8.3,0.73,1.0158,2.81,0.0,12.0,12.7,4.6,18.4,1
111,3,1.9,8.2,0.56,1.0164,2.88,0.0,12.5,16.2,8.5,23.2,1
112,1,1.7,6.8,0.46,1.0132,2.92,0.0,12.7,18.4,9.9,26.4,1
114,8,4.5,13.1,0.96,1.0134,0.76,0.07,0.0,8.9,7.0,18.8,0
115,3,2.0,8.1,0.74,1.0145,2.11,0.0,6.3,12.6,8.6,17.9,0
116,1,1.8,6.2,0.66,1.0119,2.87,0.0,11.8,15.9,7.2,23.6,1
117,5,2.2,7.7,0.72,1.0098,1.59,0.0,3.0,16.5,9.5,19.5,1
118,7,2.4,10.5,0.49,1.0054,2.26,0.0,7.1,19.6,10.7,27.5,1
119,8,2.2,7.5,0.66,1.0125,2.14,0.0,6.2,16.9,13.1,23.2,1
120,7,2.1,6.1,0.9,1.0188,0.79,0.0,0.0,14.4,13.6,17.0,0
121,6,1.4,11.3,0.79,1.0166,1.9,0.09,4.0,15.3,11.7,22.9,0
122,3,2.2,10.3,0.69,1.0159,2.47,0.01,7.7,16.6,9.8,22.7,0
125,2,2.2,8.7,0.71,1.0151,2.96,0.0,11.4,16.4,10.7,22.0,1
127,4,1.4,6.4,0.64,1.0148,3.15,0.0,12.8,17.6,9.9,24.5,1
128,7,2.1,9.5,0.68,1.0165,2.08,0.14,4.7,17.1,11.9,23.4,0
129,2,1.9,8.3,0.63,1.0175,3.19,0.0,13.0,19.0,12.5,24.9,1
130,2,1.6,7.0,0.52,1.0148,3.25,0.0,13.4,21.4,12.3,27.3,1
131,4,1.8,6.2,0.5,1.0136,3.18,0.0,12.7,22.0,14.0,27.6,1
133,4,2.4,7.7,0.78,1.0216,2.43,0.0,6.7,15.6,13.8,20.1,1
134,0,3.1,10.3,0.5,1.0228,3.45,0.0,14.8,16.3,8.3,23.0,1
135,1,1.5,5.1,0.52,1.0206,3.45,0.0,14.7,18.5,8.5,25.7,1
136,5,1.6,6.1,0.49,1.0167,3.33,0.0,13.6,22.1,13.3,27.1,1
139,7,3.2,10.3,0.72,1.0119,2.12,0.61,4.5,11.2,8.0,14.7,0
140,6,3.4,18.4,0.76,1.0134,2.29,0.39,5.5,9.2,6.2,14.3,0
141,5,2.0,14.8,0.61,1.0107,2.7,0.24,8.2,13.6,5.3,17.9,0
142,8,4.5,14.1,0.79,1.0172,1.24,0.03,0.6,10.2,7.7,13.5,0
143,3,2.0,6.2,0.63,1.0211,3.03,0.0,10.6,13.8,7.8,18.6,1
146,6,2.5,9.1,0.77,1.0157,2.67,0.03,7.8,18.2,12.9,22.1,0
147,7,2.5,17.8,0.85,1.0159,1.42,0.2,1.1,13.2,11.1,19.4,0
148,7,2.8,11.9,0.8,1.0126,2.18,0.68,4.6,13.9,9.9,19.3,0
149,7,3.1,18.1,0.82,1.0175,1.84,0.4,2.8,9.8,7.4,13.0,0
151,6,3.1,13.6,0.89,1.0183,1.33,0.18,0.8,11.4,10.0,14.8,0
152,2,1.6,7.4,0.64,1.0249,3.34,0.0,13.5,16.6,6.7,22.0,1
153,4,1.7,5.2,0.61,1.0215,3.28,0.0,13.0,20.1,12.1,26.9,1
154,3,2.5,12.7,0.56,1.0185,3.42,0.06,14.1,22.2,13.9,28.6,0
158,4,3.5,14.8,0.66,1.0235,2.62,0.0,8.2,14.4,10.9,18.7,1
160,1,2.5,9.4,0.62,1.0154,3.57,0.0,15.1,21.7,13.0,28.2,1
161,3,1.6,6.5,0.52,1.0128,2.98,0.0,10.6,24.3,16.9,29.8,1
163,6,2.2,8.3,0.78,1.0248,1.85,0.0,3.6,19.6,16.5,23.8,1
165,4,3.5,13.2,0.69,1.0228,3.12,0.01,11.6,20.2,16.3,26.4,0
166,7,4.1,14.2,0.72,1.0227,1.57,0.11,2.3,18.1,15.8,22.5,0
167,5,3.5,10.9,0.59,1.0257,2.62,0.0,8.1,14.8,12.4,19.4,1
168,1,1.9,6.9,0.44,1.0295,3.44,0.0,14.0,15.6,9.1,20.3,1
169,0,1.9,6.2,0.4,1.0282,3.62,0.0,15.4,18.9,8.5,25.9,1
170,1,2.0,7.1,0.43,1.0219,3.62,0.0,15.4,22.6,12.3,29.7,1
171,0,2.0,7.2,0.41,1.0162,3.61,0.0,15.4,24.7,14.4,31.9,1
172,2,2.4,10.7,0.41,1.0141,3.56,0.0,15.0,26.1,17.8,32.1,1
174,7,2.3,8.6,0.81,1.0193,1.32,0.35,1.3,16.4,14.1,20.3,0
175,7,3.2,12.9,0.8,1.0167,1.37,0.31,1.5,13.1,10.6,18.7,0
176,6,3.6,11.7,0.77,1.0184,1.61,0.0,2.5,12.6,10.2,15.5,0
177,6,3.2,11.5,0.59,1.0207,2.26,0.0,5.9,13.6,11.0,17.6,0
178,1,2.1,8.6,0.5,1.0204,3.24,0.0,12.5,14.2,9.3,19.8,1
179,5,2.1,9.1,0.52,1.0152,2.99,0.0,10.7,17.2,8.1,21.5,1
180,6,2.9,11.5,0.43,1.0164,2.61,0.0,8.1,17.1,11.7,21.0,1
181,3,2.6,10.6,0.51,1.0149,3.2,0.0,12.3,18.7,11.8,23.9,1
182,3,2.6,12.2,0.52,1.0118,3.24,0.48,12.6,21.6,12.3,28.0,0
185,6,2.7,11.7,0.77,1.0086,1.73,0.05,3.1,19.0,16.5,22.1,0
186,4,4.3,15.4,0.53,1.0155,3.36,0.0,13.6,19.9,15.7,23.3,1
187,2,2.3,9.1,0.52,1.0187,2.99,0.17,10.9,20.6,14.5,25.4,0
189,7,4.6,16.5,0.81,1.0127,1.52,0.02,2.2,13.0,10.9,17.4,0
190,7,3.7,14.3,0.79,1.0111,1.27,0.49,1.2,13.4,11.1,18.2,0
192,7,3.6,10.7,0.79,1.0028,1.58,0.42,2.5,13.3,11.3,18.7,0
193,7,4.0,11.9,0.78,1.0134,1.51,0.45,2.2,12.4,10.5,16.3,0
194,6,3.8,11.4,0.73,1.0169,1.79,0.62,3.5,12.9,8.5,16.4,0
196,6,3.5,11.0,0.9,1.0098,1.68,0.45,3.0,10.3,9.2,13.9,0
197,6,3.1,11.3,0.91,1.0147,1.83,0.39,3.8,10.6,9.2,15.0,0
198,4,2.2,6.5,0.66,1.0183,2.73,0.06,9.4,14.7,9.3,19.8,0
199,4,2.0,8.0,0.69,1.0181,2.68,0.0,9.1,15.8,11.7,21.0,1
200,4,3.2,13.8,0.71,1.0184,2.41,0.09,7.3,15.0,12.5,19.2,0
202,5,3.0,8.7,0.59,1.02,2.47,0.0,7.8,17.6,12.9,22.4,1
203,2,1.8,6.5,0.56,1.0171,3.33,0.0,14.2,19.0,10.1,24.1,1
204,7,1.6,8.1,0.82,1.0139,1.94,0.18,4.6,18.0,12.6,24.3,0
206,4,3.5,10.9,0.61,1.0082,2.73,0.25,9.8,20.8,14.9,25.0,0
207,6,3.7,18.7,0.77,1.0107,2.06,0.69,5.4,17.7,15.6,24.8,0
210,6,4.6,12.1,0.77,1.0176,1.82,0.29,4.1,15.8,13.3,20.0,0
212,1,1.7,5.8,0.71,1.0241,2.93,0.0,11.7,18.1,12.0,24.2,1
216,7,1.8,4.8,0.83,1.0208,0.96,0.08,0.5,15.8,14.4,18.2,0
219,6,3.0,9.5,0.92,1.0219,1.3,0.18,1.8,15.9,13.6,19.1,0
221,4,1.6,5.5,0.8,1.0211,2.43,0.0,8.6,18.5,14.3,23.6,1
222,5,1.9,7.7,0.61,1.0172,2.5,0.0,9.2,22.0,14.6,27.2,1
224,2,1.6,7.3,0.59,1.0131,2.93,0.0,12.8,22.6,14.3,29.3,1
225,1,1.7,6.7,0.56,1.0164,2.92,0.0,12.8,22.4,15.6,29.3,1
228,3,1.5,9.1,0.75,1.0168,2.61,0.0,10.6,22.3,18.0,28.1,1
229,4,2.8,17.3,0.57,1.0138,2.5,0.29,9.8,23.4,17.4,31.1,0
230,6,2.2,10.2,0.76,1.0158,1.39,0.27,2.6,21.0,17.5,24.5,0
231,1,1.8,7.0,0.61,1.0138,2.84,0.0,12.9,23.8,16.1,30.7,1
232,3,2.5,8.8,0.5,1.0112,2.74,0.0,12.1,26.8,18.2,33.5,1
234,6,2.1,8.4,0.72,1.0192,1.4,0.0,2.8,18.1,15.0,21.2,1
235,1,2.0,6.5,0.68,1.02,2.75,0.0,12.6,19.4,12.7,25.0,1
236,1,2.0,9.4,0.59,1.0208,2.73,0.0,12.6,21.5,13.4,28.0,1
237,1,2.7,9.3,0.59,1.0202,2.59,0.0,11.5,19.4,14.8,25.7,1
238,1,3.6,10.2,0.5,1.0151,2.72,0.0,12.8,18.4,12.9,25.0,1
239,5,3.2,12.1,0.7,1.0154,2.05,0.2,7.4,17.0,10.9,23.7,0
240,4,2.4,7.0,0.83,1.0201,0.94,0.01,0.9,16.3,14.4,19.8,0
241,2,1.3,5.5,0.73,1.0198,2.39,0.0,10.3,16.4,11.0,22.8,1
242,6,1.9,7.4,0.75,1.0146,2.09,0.05,8.0,18.0,11.3,24.7,0
244,6,2.4,6.2,0.79,1.0081,1.71,0.03,5.2,18.0,14.2,22.2,0
245,6,4.7,18.2,0.71,1.0091,1.49,0.06,3.7,14.6,12.5,19.4,0
247,6,3.1,10.5,0.84,1.0189,1.2,0.5,2.1,11.6,10.2,13.9,0
248,7,2.5,8.6,0.78,1.0228,1.15,0.0,1.9,12.8,9.9,16.2,0
252,1,1.6,5.5,0.8,1.0241,2.34,0.0,11.8,15.6,8.4,23.3,1
253,2,1.4,6.6,0.82,1.0216,2.36,0.0,12.2,17.0,9.5,24.8,1
255,3,1.8,7.5,0.74,1.0138,2.23,0.0,11.2,18.1,10.6,26.0,1
257,7,1.7,6.4,0.89,1.0162,1.3,0.0,3.4,17.3,13.7,21.3,1
258,7,1.5,4.6,0.79,1.0142,1.76,0.0,7.2,19.6,14.8,25.1,1
260,8,4.5,13.4,0.96,1.0119,0.53,0.14,0.0,12.2,10.9,13.2,0
261,5,1.8,6.1,0.87,1.0101,1.01,0.0,1.8,13.4,11.6,18.0,1
262,5,2.8,6.8,0.94,1.0075,1.11,0.0,2.5,12.3,9.0,17.6,0
265,8,2.2,8.5,0.94,1.0243,0.5,0.05,0.0,12.3,10.1,14.1,0
266,4,3.0,9.8,0.85,1.0238,1.26,0.0,3.9,11.5,9.9,16.4,0
267,3,1.6,4.5,0.92,1.0214,1.37,0.0,4.9,10.3,6.6,15.3,0
268,5,1.3,5.2,0.9,1.0223,1.75,0.0,8.7,14.8,8.0,20.9,1
269,4,1.5,4.4,0.89,1.0219,1.72,0.0,8.6,15.8,12.4,22.0,1
270,2,1.2,4.5,0.84,1.0186,1.9,0.0,10.8,16.6,10.5,23.1,1
271,2,2.3,7.7,0.82,1.0119,1.84,0.0,10.3,17.5,13.7,24.1,1
272,1,2.4,7.2,0.81,1.0041,1.86,0.0,10.8,17.2,10.6,24.4,1
273,6,2.1,7.5,0.79,1.0032,1.66,0.02,8.7,17.0,10.1,24.1,0
276,8,1.9,6.1,0.99,1.0218,0.44,0.33,0.0,10.7,9.7,11.5,0
277,8,1.4,4.4,0.92,1.0217,0.43,0.0,0.0,11.0,9.3,11.7,0
281,7,1.7,6.1,0.89,1.0216,0.6,0.32,0.6,8.0,5.0,11.3,0
282,5,2.6,10.6,0.91,1.0127,0.78,0.0,1.7,8.4,6.5,12.5,0
283,7,3.0,12.8,0.78,1.0012,0.49,0.0,0.2,8.0,4.5,13.3,0
285,7,2.5,8.9,0.89,1.0023,0.89,0.01,2.8,11.2,8.5,15.1,0
286,7,2.4,8.1,0.9,1.0103,1.19,0.0,5.9,13.3,8.8,16.9,0
287,8,1.3,6.0,0.95,1.0142,0.88,0.0,2.9,11.6,9.2,16.1,0
289,3,2.4,11.4,0.77,1.0116,1.35,0.0,8.3,14.0,10.6,19.7,1
291,7,1.3,5.6,0.93,1.0256,0.35,0.14,0.0,10.6,9.5,12.8,0
292,8,1.4,4.3,0.96,1.0227,0.35,0.41,0.0,10.8,9.1,11.8,0
293,5,1.7,5.8,0.93,1.0226,0.7,0.0,1.9,10.6,8.6,14.9,0
294,7,1.2,4.0,0.94,1.0256,0.81,0.0,3.0,9.4,7.8,13.5,0
295,8,1.3,3.7,0.99,1.0304,0.33,0.0,0.0,8.8,6.5,9.9,0
297,5,2.7,9.4,0.87,1.0228,0.6,0.03,1.4,12.6,6.7,16.4,0
298,6,3.2,12.7,0.72,1.0167,1.04,0.0,6.1,14.7,10.8,18.8,1
299,7,3.8,11.8,0.79,1.0155,0.31,0.34,0.0,11.4,8.4,14.9,0
302,6,2.9,12.1,0.72,1.0179,0.6,0.0,1.7,10.8,7.0,14.7,0
303,6,2.3,6.6,0.74,1.0078,1.06,0.0,7.2,10.9,6.3,15.0,0
304,7,2.9,9.9,0.95,1.0048,0.29,0.48,0.0,7.5,6.9,10.9,0
305,2,3.4,11.3,0.71,1.0095,1.06,0.0,7.6,8.6,6.3,13.0,0
306,5,2.9,8.8,0.61,1.0066,1.04,0.02,7.5,10.2,5.2,14.6,0
307,7,2.9,12.1,0.75,1.0016,0.83,0.23,4.7,10.1,8.1,20.1,0
308,6,2.7,8.1,0.94,1.0123,0.27,0.19,0.0,5.5,4.5,8.1,0
309,3,2.7,7.3,0.82,1.0144,0.96,0.0,6.9,5.5,3.1,11.1,0
312,3,2.3,7.8,0.8,0.9994,0.81,0.0,5.2,7.0,5.3,12.3,0
313,7,2.5,8.1,0.71,1.0112,0.68,0.0,3.6,8.4,5.2,11.1,0
314,5,2.5,7.4,0.72,1.0212,0.88,0.01,6.6,6.7,3.7,11.4,0
315,2,2.2,7.5,0.69,1.0248,0.96,0.0,8.0,6.1,4.2,11.4,0
316,6,2.2,8.3,0.6,1.0146,0.88,0.0,6.8,6.8,-0.8,12.6,0
317,5,2.2,7.5,0.63,1.0031,0.79,0.0,5.6,12.8,3.7,19.2,1
319,7,1.4,5.1,0.85,1.0174,0.41,0.05,1.0,7.2,4.5,9.4,0
320,6,2.3,6.9,0.88,1.0152,0.59,0.13,3.1,7.0,5.2,9.8,0
321,8,2.9,7.3,0.99,1.0132,0.23,0.35,0.0,3.8,3.2,6.9,0
322,5,2.5,8.6,0.87,1.0183,0.44,0.0,1.5,2.8,2.0,5.3,0
323,3,1.5,4.5,0.82,1.0098,0.9,0.0,8.5,3.6,-2.4,9.4,0
324,7,2.0,6.2,0.82,1.0068,0.42,0.47,1.3,6.0,2.3,9.5,0
325,5,1.9,5.0,0.98,1.0099,0.21,0.36,0.0,3.9,3.4,5.3,0
326,5,1.5,6.1,0.86,1.0139,0.47,0.0,2.0,5.5,1.9,10.4,0
327,6,2.1,6.6,0.87,1.0086,0.3,0.0,0.4,4.5,2.8,7.7,0
329,8,1.9,5.8,0.99,1.0122,0.21,0.17,0.0,2.1,1.0,4.6,0
331,6,3.2,12.1,0.78,1.0199,0.46,0.13,2.1,5.2,3.6,7.8,0
332,6,1.8,5.5,0.96,1.0208,0.2,0.31,0.0,7.8,3.0,11.4,0
333,6,1.4,3.5,0.92,1.0173,0.72,0.0,6.5,4.6,2.4,11.1,0
334,7,1.2,4.3,0.92,1.0206,0.45,0.0,2.2,4.9,1.9,11.2,0
335,7,1.5,4.6,0.95,1.0204,0.54,0.0,3.5,2.9,-0.3,7.0,0
336,6,1.6,5.8,0.95,1.0204,0.54,0.0,3.5,4.3,0.1,9.7,0
337,7,1.3,6.0,0.95,1.0214,0.45,0.0,2.2,6.1,0.4,9.1,0
338,8,1.3,6.2,0.99,1.0217,0.2,0.0,0.0,4.3,3.6,7.3,0
339,5,2.1,6.6,0.88,1.0217,0.73,0.0,7.5,4.6,2.1,10.4,0
340,7,1.6,4.5,0.95,1.0201,0.6,0.0,4.9,2.5,0.5,5.5,0
341,6,2.0,6.2,0.95,1.0153,0.6,0.0,4.9,4.4,1.4,8.5,0
342,5,1.7,6.9,0.9,1.0117,0.46,0.68,2.6,7.8,3.4,10.0,0
343,6,1.8,5.3,0.9,1.0182,0.26,0.11,0.3,8.7,7.5,11.1,0
344,6,4.6,16.9,0.74,1.0208,0.3,0.2,0.6,9.3,6.5,11.5,0
345,5,4.6,19.0,0.56,1.0262,0.56,0.0,4.4,10.8,9.2,14.5,0
346,6,2.4,7.9,0.58,1.0243,0.52,0.0,3.7,11.2,8.9,16.5,0
347,6,5.1,15.8,0.54,1.0196,0.51,0.0,3.5,11.2,8.5,13.6,0
348,6,4.3,11.6,0.66,1.0126,0.19,0.13,0.0,7.4,6.1,10.0,0
349,6,5.3,17.1,0.81,1.0071,0.38,0.04,1.5,4.7,3.2,7.9,0
350,8,5.2,14.8,0.91,1.0132,0.19,0.24,0.0,2.0,0.7,3.6,0
353,8,2.5,8.2,0.99,1.0222,0.19,0.56,0.0,3.1,1.7,5.2,0
355,8,3.2,8.4,0.97,1.0265,0.19,0.0,0.0,-4.2,-4.6,-1.7,0
356,4,3.3,8.6,0.91,1.0247,0.47,0.0,2.9,-4.8,-6.1,-1.9,0
357,3,1.2,4.0,0.87,1.0175,0.66,0.0,6.7,-2.9,-7.3,2.9,0
358,4,1.2,5.1,0.93,1.0086,0.6,0.0,5.4,-2.8,-8.1,3.3,0
359,7,1.0,4.8,0.93,0.9975,0.26,0.11,0.3,0.5,-2.9,1.6,0
362,5,2.1,13.5,0.98,0.9983,0.19,0.59,0.0,1.6,-2.0,3.6,0
363,8,2.1,6.7,0.98,1.0011,0.19,0.15,0.0,-0.7,-2.6,0.5,0
365,4,3.6,12.6,0.88,1.0186,0.48,0.01,2.9,-2.7,-4.8,1.4,0
366,6,1.9,7.7,0.77,1.0122,0.53,0.0,3.7,-0.6,-6.3,3.1,0
367,7,2.0,7.8,0.81,1.0062,0.34,0.11,0.9,5.4,-0.4,7.7,0
368,5,3.8,15.7,0.84,1.0113,0.52,0.0,3.4,5.1,3.6,8.8,0
369,6,2.9,9.9,0.87,1.0092,0.2,0.11,0.0,4.2,0.9,6.4,0
370,7,2.4,8.4,0.67,1.0045,0.2,0.04,0.0,5.9,2.1,7.5,0
374,3,2.1,6.7,0.89,1.0182,0.7,0.0,6.4,1.1,-0.6,4.8,0
375,7,1.2,4.9,0.92,1.0168,0.34,0.14,0.7,2.4,-3.3,4.4,0
376,8,1.8,7.1,0.99,1.0195,0.21,0.2,0.0,3.1,1.7,5.6,0
377,5,3.3,9.3,0.96,1.0255,0.4,0.0,1.3,-1.0,-3.0,1.7,0
378,4,4.6,12.0,0.81,1.0318,0.72,0.0,6.3,-4.8,-5.9,-1.8,0
380,0,2.5,9.3,0.75,1.0278,0.83,0.0,8.2,-6.2,-7.8,-1.2,0
381,2,1.1,3.5,0.88,1.0264,0.7,0.0,5.5,-6.7,-10.3,-2.5,0
382,1,1.6,3.9,0.74,1.0233,0.83,0.0,7.8,-3.2,-8.3,2.2,0
383,7,1.4,3.2,0.91,1.0234,0.34,0.0,0.5,-4.4,-6.9,-2.0,0
384,3,1.3,3.9,0.85,1.0237,0.8,0.04,6.9,-2.7,-7.2,1.2,0
385,6,1.4,4.0,0.93,1.0259,0.24,0.02,0.0,-1.0,-3.5,1.3,0
386,7,1.7,5.1,0.92,1.0276,0.4,0.01,0.9,-1.4,-4.3,1.6,0
387,5,2.1,5.9,0.88,1.0171,0.59,0.13,3.0,1.9,-2.2,8.5,0
388,6,2.4,12.0,0.76,1.0115,0.76,0.01,5.6,5.8,-1.6,10.4,0
389,7,2.7,9.6,0.74,1.0072,0.35,0.29,0.4,6.9,3.9,10.7,0
390,6,2.9,13.3,0.9,1.0087,0.8,0.4,5.9,5.4,1.7,10.5,0
391,4,2.7,9.7,0.91,1.0097,0.47,0.0,1.3,3.2,1.8,6.6,0
393,5,2.2,6.9,0.67,1.0049,0.91,0.0,7.3,1.2,-0.9,6.5,0
394,4,1.4,5.0,0.9,1.0143,0.91,0.0,7.1,-0.8,-3.0,3.2,0
395,7,1.1,4.0,0.91,1.0217,0.27,0.01,0.0,0.2,-3.0,1.5,0
396,8,1.8,6.7,0.84,1.0219,0.48,0.02,1.1,-0.5,-1.2,2.4,0
397,7,3.0,8.2,0.9,1.0254,0.5,0.19,1.2,-2.1,-3.4,-0.3,0
